vh.gene	HCDR3.length	hcdr3.hydrophobicity	vl.gene	LCDR3.length	mut.freq	fwrs.mut.freq	VH1.lcdr3_5	VH1-69.VK3-20.GW	is.bnAb
IGHV3-23	14	1.6500000000000001	IGKV3-20	11	0.1	0.09	0	0	0
IGHV5-51	17	2.8000000000000003	IGLV5-45	9	0.12	0.11	0	0	0
IGHV3-23	14	1.7500000000000002	IGKV3-20	10	0.19	0.13	0	0	0
IGHV3-23	14	2.05	IGKV3-20	10	0.15	0.11	0	0	0
IGHV3-23	14	2.05	IGKV3-20	10	0.11	0.06	0	0	0
IGHV3-7	17	1.55	IGKV1-39	9	0.14	0.15	0	0	0
IGHV3-23	14	2.4000000000000004	IGLV3-21	10	0.13	0.11	0	0	0
IGHV3-23	14	0.9	IGLV2-14	10	0.09	0.1	0	0	0
IGHV3-23	11	1.75	IGLV1-51	11	0.0	0.0	0	0	0
IGHV3-9	21	2.3000000000000003	IGKV2-28	9	0.08	0.02	0	0	0
IGHV4-59	18	2.6	IGKV1-39	9	0.18	0.12	0	0	0
IGHV4-39	21	2.3000000000000003	IGKV2-28	9	0.11	0.07	0	0	0
IGHV1-2	15	2.85	IGLV2-14	12	0.0	0.0	0	0	0
IGHV3-15	16	2.6	IGKV1-17	11	0.0	0.0	0	0	0
IGHV3-21	18	3.0	IGKV3-15	9	0.17	0.16	0	0	0
IGHV3-21	14	1.1	IGKV1-39	9	0.0	0.0	0	0	0
IGHV3-23	18	4.999999999999999	IGLV2-23	11	0.0	0.0	0	0	0
IGHV1-3	11	3.15	IGKV1-NL1	9	0.12	0.11	0	0	0
IGHV3-7	17	3.2	IGKV3-20	9	0.03	0.02	0	0	0
IGHV3-23	14	1.3	IGKV3-20	9	0.32	0.24	0	0	0
IGHV3-7	17	2.3500000000000005	IGKV3-20	9	0.09	0.07	0	0	0
IGHV3-23	14	1.6500000000000001	IGKV1-5	10	0.12	0.1	0	0	0
IGHV3-23	14	1.6500000000000001	IGKV1-5	10	0.12	0.12	0	0	0
IGHV3-7	17	2.5	IGKV1-16	9	0.15	0.11	0	0	0
IGHV3-7	17	1.85	IGKV3-11	11	0.03	0.02	0	0	0
IGHV3-23	14	2.4	IGKV3-15	10	0.19	0.15	0	0	0
IGHV3-23	14	2.5000000000000004	IGKV3-15	10	0.13	0.09	0	0	0
IGHV4-30-4	20	4.85	IGLV3-19	11	0.08	0.05	0	0	0
IGHV3-7	17	1.75	IGLV1-47	11	0.1	0.04	0	0	0
IGHV4-34	13	1.0	IGKV1-17	9	0.06	0.05	0	0	0
IGHV1-46	20	3.3500000000000005	IGKV1-39	9	0.23	0.23	0	0	0
IGHV4-38-2	20	3.85	IGKV2-28	9	0.11	0.09	0	0	0
IGHV3-49	13	3.4000000000000004	IGKV2-30	9	0.0	0.0	0	0	0
IGHV4-38-2	20	4.05	IGLV10-54	11	0.08	0.06	0	0	0
IGHV3-49	13	2.0500000000000003	IGLV1-47	11	0.14	0.15	0	0	0
IGHV3-74	20	1.55	IGKV3-11	9	0.03	0.01	0	0	0
IGHV3-53	17	2.4000000000000004	IGLV2-11	12	0.08	0.06	0	0	0
IGHV1-2	20	2.75	IGLV2-14	10	0.11	0.11	0	0	0
IGHV3-23	11	1.95	IGKV1-33	10	0.0	0.0	0	0	0
IGHV1-3	11	2.1	IGLV8-61	10	0.17	0.15	0	0	0
IGHV3-30-3	21	4.1499999999999995	IGKV3-15	10	0.03	0.02	0	0	0
IGHV4-61	14	1.45	IGLV1-47	12	0.0	0.0	0	0	0
IGHV3-43	14	3.95	IGLV2-11	10	0.0	0.0	0	0	0
IGHV3-9	21	3.4000000000000004	IGLV2-14	10	0.12	0.07	0	0	0
IGHV1-2	15	2.0	IGLV2-23	10	0.0	0.0	0	0	0
IGHV4-30-2	16	2.65	IGKV1-9	8	0.11	0.11	0	0	0
IGHV3-21	18	4.7	IGKV1-39	9	0.0	0.0	0	0	0
IGHV3-30	21	1.2	IGKV3-20	9	0.16	0.12	0	0	0
IGHV1-2	20	3.75	IGKV1-39	11	0.13	0.11	0	0	0
IGHV3-53	17	4.300000000000001	IGKV4-1	9	0.04	0.02	0	0	0
IGHV3-53	17	2.6500000000000004	IGKV3-15	9	0.06	0.04	0	0	0
IGHV3-53	17	2.85	IGKV3-15	9	0.09	0.06	0	0	0
IGHV3-53	17	2.6500000000000004	IGKV3-15	9	0.12	0.1	0	0	0
IGHV3-53	17	2.6500000000000004	IGKV3-15	9	0.1	0.06	0	0	0
IGHV3-53	17	2.6500000000000004	IGKV3-15	9	0.12	0.06	0	0	0
IGHV1-69	20	1.7500000000000002	IGKV4-1	9	0.02	0.01	0	0	0
IGHV4-4	17	4.0	IGKV1-9	9	0.08	0.05	0	0	0
IGHV1-69	20	2.1	IGLV1-40	11	0.07	0.02	0	0	0
IGHV3-30	20	2.1	IGLV6-57	9	0.1	0.05	0	0	0
IGHV4-4	17	4.2	IGKV4-1	9	0.05	0.02	0	0	0
IGHV3-30	20	3.9000000000000004	IGLV3-25	11	0.09	0.07	0	0	0
IGHV4-4	17	4.2	IGKV3-20	8	0.09	0.06	0	0	0
IGHV3-30	20	4.35	IGKV1-5	9	0.06	0.04	0	0	0
IGHV4-4	17	0.8	IGKV1-39	9	0.12	0.09	0	0	0
IGHV3-30	20	3.6500000000000004	IGKV3-20	10	0.12	0.13	0	0	0
IGHV4-4	17	1.75	IGKV1-39	9	0.07	0.07	0	0	0
IGHV3-30	20	5.25	IGKV1-12	9	0.23	0.22	0	0	0
IGHV4-4	17	3.35	IGKV3-20	9	0.1	0.07	0	0	0
IGHV4-4	17	0.30000000000000004	IGKV1-16	9	0.18	0.17	0	0	0
IGHV3-30	20	3.85	IGLV1-47	11	0.08	0.05	0	0	0
IGHV3-30-3	20	2.2	IGLV8-61	10	0.22	0.16	0	0	0
IGHV4-61	17	4.05	IGKV3-20	9	0.09	0.07	0	0	0
IGHV3-30	16	1.5	IGKV4-1	10	0.01	0.01	0	0	0
IGHV4-34	12	1.8	IGLV2-14	10	0.0	0.0	0	0	0
IGHV3-30-3	21	4.1	IGKV3-20	10	0.04	0.01	0	0	0
IGHV3-23	11	1.65	IGKV1-5	9	0.08	0.06	0	0	0
IGHV3-23	14	1.3500000000000003	IGLV1-51	11	0.12	0.09	0	0	0
IGHV4-31	11	2.3	IGKV3-20	9	0.04	0.04	0	0	0
IGHV1-2	15	3.35	IGKV3-20	11	0.0	0.0	0	0	0
IGHV4-30-2	18	3.95	IGLV8-61	10	0.0	0.0	0	0	0
IGHV3-30	18	2.2	IGKV1-39	9	0.0	0.0	0	0	0
IGHV1-8	17	4.8	IGKV1-39	9	0.05	0.06	0	0	0
IGHV3-30-3	20	3.9000000000000004	IGLV3-25	10	0.07	0.02	0	0	0
IGHV1-8	17	3.15	IGLV3-25	11	0.27	0.27	0	0	0
IGHV3-30-3	20	6.35	IGLV2-14	11	0.14	0.1	0	0	0
IGHV3-30-3	20	4.1499999999999995	IGLV3-21	11	0.06	0.05	0	0	0
IGHV1-8	17	1.9000000000000001	IGKV3-15	10	0.0	0.0	0	0	0
IGHV4-34	20	2.65	IGKV3-20	9	0.06	0.06	0	0	0
IGHV4-39	17	4.05	IGKV1-5	9	0.12	0.09	0	0	0
IGHV5-10-1	17	2.75	IGKV3-20	9	0.11	0.1	0	0	0
IGHV4-34	20	0.4	IGKV1-39	9	0.17	0.17	0	0	0
IGHV5-10-1	17	3.5500000000000003	IGLV1-40	10	0.12	0.13	0	0	0
IGHV4-34	20	2.1	IGKV3-20	9	0.12	0.12	0	0	0
IGHV1-58	13	1.6500000000000001	IGLV1-44	11	0.15	0.13	0	0	0
IGHV4-34	20	2.65	IGLV3-21	11	0.16	0.16	0	0	0
IGHV3-74	17	4.45	IGLV2-14	10	0.04	0.04	0	0	0
IGHV3-21	14	2.3	IGKV1-9	9	0.08	0.02	0	0	0
IGHV3-74	17	4.7	IGKV3-11	5	0.12	0.09	0	0	0
IGHV3-74	17	1.75	IGKV3-20	9	0.12	0.1	0	0	0
IGHV3-74	17	1.65	IGKV3-20	9	0.06	0.04	0	0	0
IGHV3-21	14	1.3	IGKV2-28	9	0.06	0.02	0	0	0
IGHV4-39	17	2.7	IGKV1-5	9	0.07	0.04	0	0	0
IGHV3-30-3	21	5.5	IGKV2D-29	9	0.03	0.01	0	0	0
IGHV4-34	12	0.30000000000000004	IGKV4-1	9	0.18	0.15	0	0	0
IGHV3-23	11	1.9500000000000002	IGLV3-21	11	0.08	0.05	0	0	0
IGHV4-31	11	1.15	IGKV3-15	10	0.11	0.06	0	0	0
IGHV4-39	14	2.7	IGLV2-23	10	0.2	0.16	0	0	0
IGHV1-24	15	3.1000000000000005	IGKV3-20	9	0.0	0.0	0	0	0
IGHV3-30	16	0.9	IGLV1-47	11	0.03	0.01	0	0	0
IGHV3-30	14	2.3	IGKV3-15	10	0.0	0.0	0	0	0
IGHV1-69	10	1.65	IGLV1-51	11	0.0	0.0	0	0	0
IGHV1-69	10	1.65	IGLV1-51	11	0.0	0.0	0	0	0
IGHV4-59	21	3.6500000000000004	IGKV3-20	10	0.1	0.09	0	0	0
IGHV3-43	12	2.5000000000000004	IGKV3-11	9	0.0	0.0	0	0	0
IGHV4-59	13	3.4000000000000004	IGKV3-20	10	0.0	0.0	0	0	0
IGHV4-59	21	3.7500000000000004	IGLV3-19	11	0.02	0.01	0	0	0
IGHV4-34	18	3.7	IGKV3-20	9	0.0	0.0	0	0	0
IGHV3-48	18	2.45	IGKV3-15	10	0.0	0.0	0	0	0
IGHV3-74	14	3.85	IGKV1-39	9	0.0	0.0	0	0	0
IGHV3-23	17	2.95	IGKV4-1	9	0.04	0.02	0	0	0
IGHV4-39	19	4.65	IGLV1-40	11	0.0	0.0	0	0	0
IGHV3-74	17	4.0	IGLV1-40	12	0.1	0.09	0	0	0
IGHV3-21	14	2.45	IGKV2-28	9	0.09	0.06	0	0	0
IGHV3-74	17	3.6	IGLV3-9	9	0.1	0.07	0	0	0
IGHV3-74	17	4.8	IGLV3-10	11	0.04	0.02	0	0	0
IGHV3-74	17	4.8	IGLV3-10	11	0.08	0.06	0	0	0
IGHV3-21	14	0.9	IGKV1-6	9	0.14	0.12	0	0	0
IGHV3-30	13	1.5500000000000003	IGKV1-12	9	0.05	0.02	0	0	0
IGHV3-30	13	1.5500000000000003	IGKV1-12	9	0.04	0.01	0	0	0
IGHV3-53	13	0.4	IGLV3-1	10	0.03	0.0	0	0	0
IGHV3-21	14	2.3000000000000003	IGKV1-27	9	0.07	0.02	0	0	0
IGHV3-53	13	1.35	IGKV3-15	9	0.14	0.1	0	0	0
IGHV3-11	17	5.8	IGLV1-40	11	0.02	0.01	0	0	0
IGHV3-21	14	3.7	IGKV3-15	9	0.1	0.04	0	0	0
IGHV3-21	14	2.5500000000000003	IGKV1-5	7	0.13	0.1	0	0	0
IGHV3-11	17	4.55	IGKV2-28	9	0.01	0.0	0	0	0
IGHV3-21	14	2.3	IGKV3-20	11	0.11	0.07	0	0	0
IGHV3-11	17	2.8	IGKV1-39	10	0.12	0.09	0	0	0
IGHV2-70	17	3.25	IGKV1-39	11	0.0	0.0	0	0	0
IGHV3-30	21	4.8	IGKV3-11	9	0.13	0.12	0	0	0
IGHV6-1	21	3.0500000000000003	IGLV1-44	11	0.0	0.0	0	0	0
IGHV1-24	15	4.35	IGKV4-1	9	0.0	0.0	0	0	0
